,Wavelength (nm)
924,397.174
925,397.422
926,397.671
927,397.919
928,398.167
929,398.415
930,398.663
931,398.911
932,399.159
933,399.407
934,399.655
935,399.903
936,400.151
937,400.399
938,400.647
939,400.895
940,401.143
941,401.391
942,401.639
943,401.887
944,402.135
945,402.383
946,402.631
947,402.879
948,403.126
949,403.374
950,403.622
951,403.87
952,404.118
953,404.365
954,404.613
955,404.861
956,405.109
957,405.356
958,405.604
959,405.852
960,406.099
961,406.347
962,406.595
963,406.842
964,407.09
965,407.338
966,407.585
967,407.833
968,408.08
969,408.328
970,408.575
971,408.823
972,409.07
973,409.318
974,409.565
975,409.813
976,410.06
977,410.308
978,410.555
979,410.802
980,411.05
981,411.297
982,411.544
983,411.792
984,412.039
985,412.286
986,412.534
987,412.781
988,413.028
989,413.275
990,413.522
991,413.77
992,414.017
993,414.264
994,414.511
995,414.758
996,415.005
997,415.253
998,415.5
999,415.747
1000,415.994
1001,416.241
1002,416.488
1003,416.735
1004,416.982
1005,417.229
1006,417.476
1007,417.723
1008,417.97
1009,418.217
1010,418.464
1011,418.711
1012,418.957
1013,419.204
1014,419.451
1015,419.698
1016,419.945
1017,420.192
1018,420.438
1019,420.685
1020,420.932
1021,421.179
1022,421.425
1023,421.672
1024,421.919
1025,422.165
1026,422.412
1027,422.659
1028,422.905
1029,423.152
1030,423.399
1031,423.645
1032,423.892
1033,424.138
1034,424.385
1035,424.631
1036,424.878
1037,425.124
1038,425.371
1039,425.617
1040,425.864
1041,426.11
1042,426.357
1043,426.603
1044,426.849
1045,427.096
1046,427.342
1047,427.589
1048,427.835
1049,428.081
1050,428.327
1051,428.574
1052,428.82
1053,429.066
1054,429.312
1055,429.559
1056,429.805
1057,430.051
1058,430.297
1059,430.543
1060,430.79
1061,431.036
1062,431.282
1063,431.528
1064,431.774
1065,432.02
1066,432.266
1067,432.512
1068,432.758
1069,433.004
1070,433.25
1071,433.496
1072,433.742
1073,433.988
1074,434.234
1075,434.48
1076,434.726
1077,434.971
1078,435.217
1079,435.463
1080,435.709
1081,435.955
1082,436.2
1083,436.446
1084,436.692
1085,436.938
1086,437.183
1087,437.429
1088,437.675
1089,437.921
1090,438.166
1091,438.412
1092,438.657
1093,438.903
1094,439.149
1095,439.394
1096,439.64
1097,439.885
1098,440.131
1099,440.376
1100,440.622
1101,440.867
1102,441.113
1103,441.358
1104,441.604
1105,441.849
1106,442.095
1107,442.34
1108,442.585
1109,442.831
1110,443.076
1111,443.321
1112,443.567
1113,443.812
1114,444.057
1115,444.302
1116,444.548
1117,444.793
1118,445.038
1119,445.283
1120,445.528
1121,445.774
1122,446.019
1123,446.264
1124,446.509
1125,446.754
1126,446.999
1127,447.244
1128,447.489
1129,447.734
1130,447.979
1131,448.224
1132,448.469
1133,448.714
1134,448.959
1135,449.204
1136,449.449
1137,449.694
1138,449.939
1139,450.184
1140,450.429
1141,450.673
1142,450.918
1143,451.163
1144,451.408
1145,451.652
1146,451.897
1147,452.142
1148,452.387
1149,452.631
1150,452.876
1151,453.121
1152,453.365
1153,453.61
1154,453.855
1155,454.099
1156,454.344
1157,454.588
1158,454.833
1159,455.077
1160,455.322
1161,455.566
1162,455.811
1163,456.055
1164,456.3
1165,456.544
1166,456.789
1167,457.033
1168,457.277
1169,457.522
1170,457.766
1171,458.011
1172,458.255
1173,458.499
1174,458.743
1175,458.988
1176,459.232
1177,459.476
1178,459.72
1179,459.965
1180,460.209
1181,460.453
1182,460.697
1183,460.941
1184,461.185
1185,461.429
1186,461.673
1187,461.918
1188,462.162
1189,462.406
1190,462.65
1191,462.894
1192,463.138
1193,463.382
1194,463.625
1195,463.869
1196,464.113
1197,464.357
1198,464.601
1199,464.845
1200,465.089
1201,465.333
1202,465.576
1203,465.82
1204,466.064
1205,466.308
1206,466.551
1207,466.795
1208,467.039
1209,467.283
1210,467.526
1211,467.77
1212,468.014
1213,468.257
1214,468.501
1215,468.744
1216,468.988
1217,469.231
1218,469.475
1219,469.719
1220,469.962
1221,470.205
1222,470.449
1223,470.692
1224,470.936
1225,471.179
1226,471.423
1227,471.666
1228,471.909
1229,472.153
1230,472.396
1231,472.639
1232,472.883
1233,473.126
1234,473.369
1235,473.612
1236,473.856
1237,474.099
1238,474.342
1239,474.585
1240,474.828
1241,475.071
1242,475.315
1243,475.558
1244,475.801
1245,476.044
1246,476.287
1247,476.53
1248,476.773
1249,477.016
1250,477.259
1251,477.502
1252,477.745
1253,477.988
1254,478.231
1255,478.474
1256,478.716
1257,478.959
1258,479.202
1259,479.445
1260,479.688
1261,479.931
1262,480.173
1263,480.416
1264,480.659
1265,480.902
1266,481.144
1267,481.387
1268,481.63
1269,481.872
1270,482.115
1271,482.357
1272,482.6
1273,482.843
1274,483.085
1275,483.328
1276,483.57
1277,483.813
1278,484.055
1279,484.298
1280,484.54
1281,484.783
1282,485.025
1283,485.267
1284,485.51
1285,485.752
1286,485.994
1287,486.237
1288,486.479
1289,486.721
1290,486.964
1291,487.206
1292,487.448
1293,487.69
1294,487.933
1295,488.175
1296,488.417
1297,488.659
1298,488.901
1299,489.143
1300,489.385
1301,489.627
1302,489.87
1303,490.112
1304,490.354
1305,490.596
1306,490.838
1307,491.08
1308,491.321
1309,491.563
1310,491.805
1311,492.047
1312,492.289
1313,492.531
1314,492.773
1315,493.015
1316,493.256
1317,493.498
1318,493.74
1319,493.982
1320,494.223
1321,494.465
1322,494.707
1323,494.949
1324,495.19
1325,495.432
1326,495.673
1327,495.915
1328,496.157
1329,496.398
1330,496.64
1331,496.881
1332,497.123
1333,497.364
1334,497.606
1335,497.847
1336,498.089
1337,498.33
1338,498.572
1339,498.813
1340,499.054
1341,499.296
1342,499.537
1343,499.778
1344,500.02
1345,500.261
1346,500.502
1347,500.743
1348,500.985
1349,501.226
1350,501.467
1351,501.708
1352,501.949
1353,502.19
1354,502.432
1355,502.673
1356,502.914
1357,503.155
1358,503.396
1359,503.637
1360,503.878
1361,504.119
1362,504.36
1363,504.601
1364,504.842
1365,505.083
1366,505.323
1367,505.564
1368,505.805
1369,506.046
1370,506.287
1371,506.528
1372,506.768
1373,507.009
1374,507.25
1375,507.491
1376,507.731
1377,507.972
1378,508.213
1379,508.453
1380,508.694
1381,508.935
1382,509.175
1383,509.416
1384,509.656
1385,509.897
1386,510.137
1387,510.378
1388,510.618
1389,510.859
1390,511.099
1391,511.34
1392,511.58
1393,511.821
1394,512.061
1395,512.301
1396,512.542
1397,512.782
1398,513.022
1399,513.262
1400,513.503
1401,513.743
1402,513.983
1403,514.223
1404,514.464
1405,514.704
1406,514.944
1407,515.184
1408,515.424
1409,515.664
1410,515.904
1411,516.144
1412,516.384
1413,516.624
1414,516.864
1415,517.104
1416,517.344
1417,517.584
1418,517.824
1419,518.064
1420,518.304
1421,518.544
1422,518.784
1423,519.023
1424,519.263
1425,519.503
1426,519.743
1427,519.982
1428,520.222
1429,520.462
1430,520.702
1431,520.941
1432,521.181
1433,521.421
1434,521.66
1435,521.9
1436,522.139
1437,522.379
1438,522.618
1439,522.858
1440,523.097
1441,523.337
1442,523.576
1443,523.816
1444,524.055
1445,524.295
1446,524.534
1447,524.773
1448,525.013
1449,525.252
1450,525.491
1451,525.731
1452,525.97
1453,526.209
1454,526.448
1455,526.688
1456,526.927
1457,527.166
1458,527.405
1459,527.644
1460,527.883
1461,528.122
1462,528.361
1463,528.6
1464,528.84
1465,529.079
1466,529.318
1467,529.556
1468,529.795
1469,530.034
1470,530.273
1471,530.512
1472,530.751
1473,530.99
1474,531.229
1475,531.468
1476,531.706
1477,531.945
1478,532.184
1479,532.423
1480,532.661
1481,532.9
1482,533.139
1483,533.377
1484,533.616
1485,533.855
1486,534.093
1487,534.332
1488,534.57
1489,534.809
1490,535.048
1491,535.286
1492,535.525
1493,535.763
1494,536.001
1495,536.24
1496,536.478
1497,536.717
1498,536.955
1499,537.193
1500,537.432
1501,537.67
1502,537.908
1503,538.147
1504,538.385
1505,538.623
1506,538.861
1507,539.099
1508,539.338
1509,539.576
1510,539.814
1511,540.052
1512,540.29
1513,540.528
1514,540.766
1515,541.004
1516,541.242
1517,541.48
1518,541.718
1519,541.956
1520,542.194
1521,542.432
1522,542.67
1523,542.908
1524,543.146
1525,543.383
1526,543.621
1527,543.859
1528,544.097
1529,544.335
1530,544.572
1531,544.81
1532,545.048
1533,545.285
1534,545.523
1535,545.761
1536,545.998
1537,546.236
1538,546.473
1539,546.711
1540,546.949
1541,547.186
1542,547.424
1543,547.661
1544,547.898
1545,548.136
1546,548.373
1547,548.611
1548,548.848
1549,549.085
1550,549.323
1551,549.56
1552,549.797
1553,550.035
1554,550.272
1555,550.509
1556,550.746
1557,550.983
1558,551.221
1559,551.458
1560,551.695
1561,551.932
1562,552.169
1563,552.406
1564,552.643
1565,552.88
1566,553.117
1567,553.354
1568,553.591
1569,553.828
1570,554.065
1571,554.302
1572,554.539
1573,554.776
1574,555.013
1575,555.249
1576,555.486
1577,555.723
1578,555.96
1579,556.197
1580,556.433
1581,556.67
1582,556.907
1583,557.143
1584,557.38
1585,557.617
1586,557.853
1587,558.09
1588,558.326
1589,558.563
1590,558.799
1591,559.036
1592,559.272
1593,559.509
1594,559.745
1595,559.982
1596,560.218
1597,560.454
1598,560.691
1599,560.927
1600,561.163
1601,561.4
1602,561.636
1603,561.872
1604,562.108
1605,562.345
1606,562.581
1607,562.817
1608,563.053
1609,563.289
1610,563.525
1611,563.761
1612,563.997
1613,564.233
1614,564.47
1615,564.706
1616,564.941
1617,565.177
1618,565.413
1619,565.649
1620,565.885
1621,566.121
1622,566.357
1623,566.593
1624,566.829
1625,567.064
1626,567.3
1627,567.536
1628,567.772
1629,568.007
1630,568.243
1631,568.479
1632,568.714
1633,568.95
1634,569.186
1635,569.421
1636,569.657
1637,569.892
1638,570.128
1639,570.363
1640,570.599
1641,570.834
1642,571.07
1643,571.305
1644,571.54
1645,571.776
1646,572.011
1647,572.246
1648,572.482
1649,572.717
1650,572.952
1651,573.188
1652,573.423
