,Mg Concentration,Mg Error1s,Al Concentration,Al Error1s,Si Concentration,Si Error1s,P Concentration,P Error1s,S Concentration,S Error1s,Cl Concentration,Cl Error1s,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,V Concentration,V Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Co Concentration,Co Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,As Concentration,As Error1s,Se Concentration,Se Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Y Concentration,Y Error1s,Zr Concentration,Zr Error1s,Nb Concentration,Nb Error1s,Mo Concentration,Mo Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Sn Concentration,Sn Error1s,Sb Concentration,Sb Error1s,Ba Concentration,Ba Error1s,La Concentration,La Error1s,Ce Concentration,Ce Error1s,Pr Concentration,Pr Error1s,Nd Concentration,Nd Error1s,W Concentration,W Error1s,Au Concentration,Au Error1s,Hg Concentration,Hg Error1s,Pb Concentration,Pb Error1s,Bi Concentration,Bi Error1s,Th Concentration,Th Error1s,U Concentration,U Error1s,LE Concentration,LE Error1s
8_m16,<LOD,36512.0,<LOD,5966.0,<LOD,4104.0,<LOD,716.0,<LOD,1132.0,<LOD,3476.0,<LOD,3939.0,<LOD,1966.0,<LOD,309.0,<LOD,88.0,107,28.0,305,27.0,12320,83.0,<LOD,26.0,540,36.0,941037,447.0,16835,130.0,1018,52.0,54,14.0,<LOD,1.0,45,7.0,54,11.0,<LOD,3.0,<LOD,2.0,242,13.0,614,33.0,<LOD,7.0,20216,127.0,505,74.0,278,78.0,<LOD,5391.0,<LOD,7010.0,<LOD,10660.0,1182,355.0,<LOD,29.0,117,26.0,<LOD,10.0,2170,51.0,2362,189.0,<LOD,15.0,<LOD,3.0,<LOD,1457.0
8_m17,<LOD,34337.0,<LOD,6803.0,<LOD,4133.0,<LOD,680.0,<LOD,1300.0,<LOD,2578.0,<LOD,5441.0,<LOD,1668.0,<LOD,290.0,<LOD,85.0,110,27.0,144,26.0,1204,41.0,85,8.0,466,34.0,950061,283.0,17504,128.0,4728,64.0,51,13.0,<LOD,1.0,37,6.0,56,9.0,<LOD,3.0,<LOD,2.0,227,13.0,255,26.0,<LOD,6.0,21705,129.0,265,69.0,<LOD,2927.0,<LOD,5481.0,<LOD,6925.0,<LOD,10738.0,<LOD,14228.0,<LOD,30.0,<LOD,5.0,<LOD,10.0,493,27.0,2524,198.0,<LOD,15.0,<LOD,3.0,<LOD,1367.0
8_m18,<LOD,33613.0,<LOD,6405.0,<LOD,3939.0,<LOD,684.0,<LOD,1404.0,<LOD,2772.0,<LOD,5098.0,<LOD,1600.0,<LOD,287.0,<LOD,86.0,120,28.0,224,26.0,2106,46.0,105,8.0,352,33.0,938835,286.0,21694,132.0,6101,71.0,79,13.0,<LOD,1.0,27,6.0,70,9.0,<LOD,3.0,<LOD,2.0,256,13.0,333,29.0,<LOD,6.0,25566,136.0,590,70.0,<LOD,3004.0,<LOD,5258.0,<LOD,6649.0,<LOD,10084.0,<LOD,13618.0,<LOD,32.0,<LOD,5.0,<LOD,10.0,689,31.0,2748,193.0,<LOD,15.0,<LOD,3.0,<LOD,1331.0
8_m19,<LOD,28457.0,22241,804.0,56336,385.0,1156,53.0,5200,68.0,34739,141.0,43882,182.0,6603,51.0,<LOD,856.0,<LOD,83.0,62,26.0,1881,44.0,2704,46.0,573,13.0,204579,361.0,617006,679.0,<LOD,45.0,136,15.0,28,7.0,<LOD,1.0,18,5.0,34,9.0,<LOD,4.0,60,7.0,135,8.0,403,26.0,<LOD,6.0,330,35.0,143,44.0,<LOD,4782.0,<LOD,8550.0,<LOD,11062.0,<LOD,17431.0,<LOD,23354.0,<LOD,15.0,43,12.0,<LOD,8.0,103,13.0,1029,115.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
8_m20,<LOD,40950.0,13960,831.0,34678,336.0,1183,55.0,3573,63.0,3264,81.0,49427,185.0,2774,44.0,<LOD,1168.0,<LOD,83.0,76,28.0,696,35.0,1902,42.0,639,13.0,212795,375.0,672005,721.0,<LOD,45.0,178,17.0,27,7.0,<LOD,1.0,16,5.0,40,10.0,<LOD,4.0,62,9.0,154,9.0,260,23.0,<LOD,6.0,327,40.0,250,50.0,<LOD,4889.0,<LOD,8853.0,<LOD,11381.0,<LOD,18338.0,<LOD,24448.0,<LOD,14.0,64,14.0,<LOD,6.0,163,15.0,846,135.0,<LOD,13.0,<LOD,3.0,<LOD,0.0
8_m21,<LOD,25403.0,29007,968.0,27248,302.0,<LOD,477.0,3748,58.0,4514,80.0,96841,255.0,<LOD,973.0,<LOD,692.0,138,41.0,46,26.0,187,25.0,545,36.0,99,7.0,2075,42.0,831396,942.0,<LOD,74.0,<LOD,2.0,139,10.0,<LOD,1.0,20,4.0,52,6.0,<LOD,3.0,80,7.0,164,9.0,110,17.0,<LOD,6.0,<LOD,8.0,<LOD,11.0,<LOD,4506.0,<LOD,7728.0,473,130.0,645,206.0,<LOD,21505.0,247,75.0,50,13.0,<LOD,7.0,35,11.0,2044,146.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m22,<LOD,32928.0,23062,865.0,46544,400.0,639,57.0,2092,79.0,33444,166.0,24549,189.0,28373,98.0,8993,302.0,<LOD,141.0,59,29.0,191,29.0,3893,58.0,50,10.0,1854,42.0,792618,912.0,25191,136.0,<LOD,5.0,105,11.0,<LOD,1.0,26,5.0,40,7.0,<LOD,3.0,<LOD,2.0,203,10.0,206,20.0,<LOD,7.0,740,44.0,<LOD,12.0,2193,88.0,1353,118.0,391,128.0,713,211.0,<LOD,18168.0,<LOD,34.0,<LOD,4.0,<LOD,11.0,557,25.0,1870,134.0,<LOD,15.0,<LOD,3.0,<LOD,0.0
8_m23,<LOD,30422.0,25904,845.0,50164,395.0,663,55.0,2563,76.0,30901,155.0,26830,183.0,27670,94.0,6826,269.0,<LOD,128.0,61,28.0,178,27.0,4521,59.0,52,9.0,2047,41.0,782806,890.0,31543,142.0,<LOD,4.0,101,11.0,<LOD,1.0,18,5.0,41,7.0,<LOD,3.0,<LOD,2.0,194,10.0,134,19.0,<LOD,7.0,709,41.0,199,50.0,1624,83.0,984,119.0,<LOD,10301.0,<LOD,16072.0,945,292.0,<LOD,36.0,<LOD,4.0,<LOD,11.0,471,22.0,1797,134.0,<LOD,15.0,<LOD,3.0,<LOD,0.0
8_m24,<LOD,47359.0,21430,753.0,46291,375.0,2731,68.0,6904,78.0,31280,144.0,12170,153.0,8334,51.0,<LOD,1855.0,<LOD,83.0,47,25.0,239,23.0,1362,39.0,105,7.0,1266,36.0,843146,845.0,18347,117.0,<LOD,4.0,172,12.0,<LOD,1.0,28,5.0,47,7.0,<LOD,3.0,<LOD,2.0,187,10.0,385,25.0,<LOD,6.0,946,44.0,<LOD,11.0,<LOD,4251.0,<LOD,7478.0,<LOD,9323.0,809,210.0,1013,299.0,<LOD,24.0,<LOD,3.0,<LOD,9.0,261,19.0,2397,158.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m25,<LOD,39998.0,31648,784.0,71492,430.0,6782,90.0,9931,89.0,27077,137.0,12617,157.0,4235,42.0,<LOD,1534.0,<LOD,83.0,52,25.0,136,24.0,874,36.0,87,7.0,1491,36.0,804461,824.0,24553,124.0,<LOD,4.0,183,12.0,<LOD,1.0,21,5.0,45,7.0,<LOD,3.0,<LOD,2.0,201,9.0,201,19.0,<LOD,6.0,771,40.0,<LOD,11.0,<LOD,4506.0,<LOD,7840.0,<LOD,9911.0,622,203.0,<LOD,21071.0,<LOD,29.0,<LOD,3.0,<LOD,9.0,347,20.0,2086,149.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
8_m26,<LOD,32842.0,25200,888.0,44152,406.0,632,59.0,3102,83.0,32203,166.0,21490,190.0,33928,111.0,11995,346.0,<LOD,153.0,76,32.0,129,29.0,2986,55.0,64,9.0,1921,43.0,784113,916.0,30644,148.0,<LOD,4.0,109,12.0,<LOD,1.0,25,5.0,46,8.0,<LOD,3.0,<LOD,2.0,198,10.0,133,19.0,<LOD,7.0,711,45.0,<LOD,13.0,2685,94.0,1283,123.0,<LOD,8647.0,<LOD,13236.0,<LOD,17852.0,<LOD,37.0,<LOD,4.0,<LOD,12.0,468,24.0,1641,132.0,<LOD,15.0,<LOD,3.0,<LOD,0.0
8_m27,<LOD,31381.0,<LOD,6675.0,<LOD,3702.0,<LOD,599.0,<LOD,1053.0,<LOD,2022.0,<LOD,5503.0,<LOD,1459.0,<LOD,288.0,<LOD,84.0,115,27.0,109,27.0,246,35.0,72,8.0,1015,37.0,947321,481.0,30037,143.0,<LOD,2.0,<LOD,2.0,<LOD,1.0,29,6.0,72,9.0,<LOD,3.0,60,14.0,260,12.0,101,20.0,<LOD,6.0,16090,115.0,<LOD,11.0,<LOD,3407.0,<LOD,5865.0,<LOD,7541.0,762,248.0,1075,341.0,<LOD,33.0,<LOD,3.0,<LOD,11.0,<LOD,2.0,2563,198.0,<LOD,15.0,<LOD,3.0,<LOD,1354.0
