,Mg Concentration,Mg Error1s,Al Concentration,Al Error1s,Si Concentration,Si Error1s,P Concentration,P Error1s,S Concentration,S Error1s,Cl Concentration,Cl Error1s,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,V Concentration,V Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Co Concentration,Co Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,As Concentration,As Error1s,Se Concentration,Se Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Y Concentration,Y Error1s,Zr Concentration,Zr Error1s,Nb Concentration,Nb Error1s,Mo Concentration,Mo Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Sn Concentration,Sn Error1s,Sb Concentration,Sb Error1s,Ba Concentration,Ba Error1s,La Concentration,La Error1s,Ce Concentration,Ce Error1s,Pr Concentration,Pr Error1s,Nd Concentration,Nd Error1s,W Concentration,W Error1s,Au Concentration,Au Error1s,Hg Concentration,Hg Error1s,Pb Concentration,Pb Error1s,Bi Concentration,Bi Error1s,Th Concentration,Th Error1s,U Concentration,U Error1s,LE Concentration,LE Error1s
7_m12,<LOD,32223.0,17612,871.0,39766,342.0,311,46.0,4534,64.0,18559,113.0,61581,202.0,969,43.0,<LOD,878.0,<LOD,82.0,61,26.0,244,24.0,2130,44.0,131,8.0,2022,40.0,822331,844.0,24911,126.0,169,27.0,41,9.0,<LOD,1.0,22,5.0,44,7.0,<LOD,3.0,<LOD,2.0,189,9.0,257,22.0,<LOD,6.0,697,39.0,179,48.0,<LOD,4502.0,<LOD,7867.0,<LOD,10516.0,<LOD,16073.0,<LOD,21202.0,<LOD,32.0,<LOD,3.0,<LOD,11.0,965,29.0,2144,149.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
7_m13,<LOD,31275.0,12845,853.0,35018,328.0,679,49.0,5570,68.0,24292,124.0,61978,200.0,3355,48.0,<LOD,871.0,<LOD,85.0,56,26.0,171,24.0,643,36.0,98,7.0,2074,40.0,816929,819.0,32090,136.0,<LOD,4.0,163,12.0,<LOD,1.0,19,4.0,54,7.0,<LOD,3.0,<LOD,2.0,199,9.0,139,18.0,<LOD,6.0,643,38.0,154,46.0,<LOD,4601.0,<LOD,8100.0,<LOD,10377.0,<LOD,16263.0,<LOD,21285.0,<LOD,35.0,<LOD,3.0,<LOD,11.0,477,23.0,2256,147.0,<LOD,15.0,<LOD,3.0,<LOD,0.0
7_m14,<LOD,33525.0,14763,851.0,38318,342.0,330,47.0,7879,75.0,19919,116.0,56711,196.0,1723,43.0,<LOD,933.0,<LOD,82.0,54,25.0,162,26.0,568,36.0,88,8.0,2233,41.0,822570,835.0,30407,135.0,<LOD,3.0,89,10.0,<LOD,1.0,<LOD,1.0,50,7.0,<LOD,3.0,<LOD,2.0,213,9.0,119,18.0,<LOD,6.0,639,39.0,145,46.0,<LOD,4537.0,<LOD,7758.0,421,135.0,<LOD,15474.0,<LOD,21186.0,<LOD,33.0,<LOD,3.0,<LOD,11.0,271,18.0,2238,150.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
7_m15,19122,5817.0,18099,803.0,38089,504.0,4255,86.0,8715,117.0,33932,357.0,29931,333.0,6584,81.0,<LOD,1148.0,<LOD,81.0,47,25.0,154,25.0,666,36.0,80,7.0,253,27.0,803739,4933.0,32764,343.0,<LOD,5.0,<LOD,2.0,<LOD,1.0,16,4.0,46,7.0,<LOD,3.0,<LOD,2.0,222,10.0,172,20.0,<LOD,6.0,707,39.0,<LOD,10.0,<LOD,4839.0,<LOD,8445.0,<LOD,10893.0,<LOD,16535.0,<LOD,21962.0,<LOD,34.0,<LOD,3.0,<LOD,11.0,733,27.0,1593,150.0,<LOD,16.0,<LOD,3.0,<LOD,0.0
7_m16,<LOD,7800.0,937117,568.0,47371,557.0,<LOD,118.0,6673,92.0,<LOD,410.0,<LOD,2388.0,<LOD,299.0,<LOD,164.0,<LOD,216.0,<LOD,125.0,139,28.0,6427,80.0,<LOD,51.0,100,8.0,1170,21.0,416,11.0,17,3.0,<LOD,6.0,5,1.0,4,1.0,<LOD,11.0,20,2.0,<LOD,14.0,14,3.0,20,3.0,<LOD,65.0,<LOD,79.0,<LOD,102.0,<LOD,2091.0,<LOD,3535.0,<LOD,4277.0,180,54.0,274,72.0,<LOD,73.0,<LOD,14.0,<LOD,34.0,25,3.0,<LOD,64.0,29,5.0,<LOD,18.0,<LOD,0.0
7_m17,<LOD,5092.0,989148,112.0,<LOD,411.0,<LOD,65.0,3800,64.0,<LOD,275.0,<LOD,1880.0,<LOD,207.0,<LOD,101.0,<LOD,223.0,<LOD,133.0,190,24.0,4748,61.0,<LOD,53.0,296,11.0,1040,17.0,280,8.0,15,2.0,<LOD,7.0,<LOD,7.0,<LOD,8.0,<LOD,11.0,19,2.0,<LOD,15.0,<LOD,17.0,9,3.0,<LOD,66.0,<LOD,81.0,<LOD,105.0,57,16.0,<LOD,3682.0,156,33.0,191,51.0,<LOD,8896.0,<LOD,75.0,<LOD,14.0,<LOD,33.0,21,2.0,<LOD,67.0,30,4.0,<LOD,19.0,<LOD,0.0
7_m18,9388,1648.0,976190,1683.0,2172,399.0,<LOD,64.0,3219,61.0,<LOD,273.0,<LOD,1877.0,<LOD,207.0,716,151.0,<LOD,203.0,43,33.0,3151,63.0,3480,56.0,<LOD,47.0,<LOD,30.0,618,13.0,308,8.0,11,3.0,<LOD,7.0,<LOD,7.0,<LOD,8.0,<LOD,12.0,11,2.0,<LOD,14.0,8,2.0,<LOD,0.0,<LOD,66.0,<LOD,80.0,<LOD,103.0,47,16.0,<LOD,3826.0,109,32.0,171,50.0,278,68.0,<LOD,76.0,<LOD,14.0,<LOD,34.0,58,3.0,<LOD,66.0,17,4.0,5,2.0,<LOD,0.0
7_m19,<LOD,27162.0,<LOD,5999.0,<LOD,3007.0,<LOD,507.0,<LOD,842.0,<LOD,1724.0,<LOD,4927.0,<LOD,1284.0,<LOD,284.0,<LOD,86.0,114,26.0,195,25.0,375,34.0,90,7.0,294,31.0,945976,266.0,27449,135.0,<LOD,3.0,<LOD,2.0,<LOD,1.0,30,6.0,64,8.0,<LOD,3.0,<LOD,2.0,273,12.0,<LOD,0.0,<LOD,6.0,22420,126.0,<LOD,10.0,<LOD,3060.0,<LOD,5320.0,<LOD,6688.0,<LOD,10626.0,<LOD,14333.0,<LOD,30.0,<LOD,3.0,<LOD,10.0,110,16.0,2520,197.0,<LOD,15.0,<LOD,2.0,<LOD,1265.0
7_m20,<LOD,30146.0,12207,882.0,31077,322.0,428,48.0,5073,67.0,25689,127.0,68845,212.0,565,44.0,<LOD,839.0,<LOD,86.0,99,29.0,905,38.0,2260,46.0,583,13.0,174850,335.0,556052,673.0,113779,281.0,107,33.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,40,10.0,<LOD,3.0,<LOD,3.0,236,9.0,209,22.0,<LOD,6.0,2693,50.0,298,48.0,<LOD,4158.0,524,106.0,518,130.0,<LOD,14474.0,<LOD,19661.0,<LOD,66.0,<LOD,3.0,<LOD,19.0,1684,38.0,696,115.0,<LOD,12.0,<LOD,3.0,<LOD,0.0
7_m21,<LOD,33767.0,11568,886.0,31645,328.0,<LOD,647.0,4710,64.0,8407,91.0,68168,210.0,395,43.0,<LOD,898.0,<LOD,88.0,91,28.0,261,33.0,2596,47.0,1261,17.0,175000,342.0,584607,719.0,102698,272.0,94,28.0,<LOD,2.0,<LOD,1.0,<LOD,1.0,62,10.0,<LOD,3.0,<LOD,3.0,262,10.0,81,18.0,<LOD,6.0,2142,48.0,478,50.0,236,64.0,393,109.0,414,136.0,<LOD,13843.0,934,290.0,<LOD,60.0,<LOD,3.0,<LOD,17.0,1097,32.0,1137,119.0,<LOD,12.0,<LOD,3.0,<LOD,0.0
